Timestamp;Scope;Parameter;Measurement (µs);Fault A Flag;Fault B Flag;Temperature;Humidity
2024-10-08 18:59:37;Scope_1_BOT_CH;P1;45.52;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P2;45.54;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P3;45.55;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P4;45.53;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P5;45.55;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P6;45.54;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P7;45.53;0;0;25.0;45.0
2024-10-08 18:59:37;Scope_1_BOT_CH;P8;45.52;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P1;45.52;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P2;45.55;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P3;45.53;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P4;45.53;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P5;45.54;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P6;45.5;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P7;45.52;0;0;25.0;45.0
2024-10-08 18:59:38;Scope_1_BOT_CH;P8;45.5;0;0;25.0;45.0
2024-10-08 18:59:39;Scope_1_BOT_CH;P1;45.52;0;0;25.0;45.0
2024-10-08 18:59:39;Scope_1_BOT_CH;P2;45.53;0;0;25.0;45.0
2024-10-08 18:59:39;Scope_1_BOT_CH;P3;45.52;0;0;25.0;45.0
2024-10-08 18:59:39;Scope_1_BOT_CH;P4;45.53;0;0;25.0;45.0
2024-10-08 18:59:40;Scope_1_BOT_CH;P5;45.54;0;0;25.0;45.0
